"no","universitas"
"128","Akademi Kesejahteraan Sosial Ibu Kartini"
"129","Akademi Keuangan dan Bisnis Indonesia Internasional"
"130","Akademi Keuangan dan Perbankan Borobudur"
"131","Akademi Keuangan dan Perbankan Denpasar"
"132","Akademi Keuangan dan Perbankan Effata Kupang"
"133","Akademi Komunikasi Media Radio dan TV Jakarta"
"134","Akademi Komunikasi Yogyakarta"
"135","Akademi Komunitas Olat Maras"
"136","AMIK BSI Bogor"
"137","AMIK Imelda"
"138","AMIK Lembah Dempo"
"139","AMIK Logika"
"140","AMIK Serang"
"141","AMIK Tri Dharma"
"142","AMIK Ketapang"
"143","Akademi Manajemen Perpajakan Indonesia Blitar"
"144","Akademi Manajemen Perusahaan Panca Bhakti"
"145","Akademi Maritim Aceh Darussalam"
"146","Akademi Maritim Belawan"
"147","Akademi Maritim Cirebon"
"148","Akademi Maritim Sapta Samudra"
"149","Akademi Maritim Yogyakarta"
"150","Akademi Pariwisata 17 Agustus 1945 Surabaya"
"151","Akademi Pariwisata Buana Wisata Yogyakarta"
"152","Akademi Pariwisata Bunda Padang"
"153","Akademi Pariwisata Citra Buana Indonesia"
"154","Akademi Pariwisata Manado"
"155","Akademi Pariwisata Muhammadiyah Jember"
"156","Akademi Pariwisata Patria Indonesia"
"157","Akademi Pariwisata Petrus Kafiar Biak"
"158","Akademi Pariwisata Sandhy Putra"
"159","Akademi Pariwisata Sinar Surya"
"160","Akademi Perekam Medik dan Informatika Kesehatan Imelda"
"161","Akademi Perpajakan Padang (AKAP) Bekasi"
"162","Akademi Pertanian Yogyakarta"
"163","Akademi Peternakan Karanganyar"
"164","Akademi Sekretari dan Manajemen Widya Dharma"
"165","Akademi Sekretari dan Manajemen BSI Jakarta"
"166","Akademi Sekretari dan Manajemen Don Bosco"
"167","Akademi Sekretari dan Manajemen Lepisi"
"168","Akademi Sekretari Manajemen Cendana"
"169","Akademi Sekretari Manajemen Indonesia Klabat"
"170","Akademi Teknik Elektromedik Andakara"
"171","Akademi Teknik Elektromedik Kupula Aceh"
"172","Akademi Teknik Elektromedik Muhammadiyah Makassar"
"173","Akademi Teknik Perkapalan Veteran"
"174","Akademi Teknik Radiodiagnostik dan Radioterapi Muhammadiyah Makassar"
"175","Akademi Teknik Telekomunikasi Sandhy Putra Jakarta"
"176","Akademi Telekomunikasi Indonesia Gemilang"
"177","Akademi Televisi Indonesia"
"178","Akademik Kebidanan Armina Centre Panyabungan"
"179","AKPER Rumkit Tk.III Dr. JA.A. Latumentten Kesdam XVI"
"180","AMIK BSI Pontianak"
"181","Institut Agama Islam Negeri Padangsidempuan"
"182","Institut Agama Islam Negeri Pekalongan"
"183","Institut Agama Islam Negeri Ponorogo"
"184","Institut Agama Islam Negeri Raden Fatah"
"185","Institut Agama Islam Negeri Raden Intan"
"186","Institut Agama Islam Negeri Samarinda"
"187","Institut Agama Islam Negeri Sultan Amai Gorontalo"
"188","Institut Agama Islam Negeri Sultan Maulana Hasanuddin Banten"
"189","Institut Agama Islam Negeri Sulthan Thaha Saifuddin"
"190","Institut Agama Islam Negeri Sumatera Utara"
"191","Institut Agama Islam Negeri Surakarta"
"192","Institut Agama Islam Negeri Syekh Nurjati Cirebon"
"193","Institut Agama Islam Negeri Ternate"
"194","Institut Agama Islam Negeri Tulungagung"
"195","Institut Agama Islam Riyadlatul Mujahidin Ngabar"
"196","Institut Agama Islam Sunan Giri Ponorogo"
"197","Institut Agama Islam Tribakti"
"198","Institut Bisnis dan Informatika (IBI) Kosgoro 1957"
"199","Institut Bisnis dan Informatika Kwik Kian Gie"
"200","Institut Bisnis dan Informatika STIKOM Surabaya"
"201","Institut Bisnis dan Multimedia Asmi Jakarta"
"202","Institut Bisnis Informasi Teknologi dan Bisnis"
"203","Institut Bisnis Muhammadiyah Bekasi"
"204","Institut Bisnis Nusantara"
"205","Institut Dirosat Islamiyah Al‐Amien Prenduan Sumenep Madura Indonesia"
"206","Institut Ilmu KeIslaman Annuqayah Guluk‐Guluk Sumenep"
"207","Institut Ilmu Keislaman Zainul Hasan Genggong Kraksan Probolinggo"
"208","Institut Ilmu Kesehatan Bhakti Wiyata Kediri"
"209","Institut Ilmu Kesehatan Medika Persada Bali"
"210","Institut Ilmu Sosial dan Budaya Samawa Rea"
"211","Institut Ilmu Sosial dan Ilmu Politik Jakarta"
"212","Institut Ilmu Sosial dan Ilmu Politik Yapis Biak"
"213","Institut Ilmu Sosial dan Manajemen STIAMI Jakarta"
"214","Institut Informatika dan Bisnis Darmajaya"
