"no","universitas"
"531","Sekolah Tinggi Ilmu Komunikasi Pembangunan"
"532","Sekolah Tinggi Ilmu Manajemen AMKOP"
"533","Sekolah Tinggi Ilmu Manajemen dan Ilmu Komputer ESQ"
"534","Sekolah Tinggi Ilmu Manajemen Handayani"
"535","Sekolah Tinggi Ilmu Manajemen Indonesia Banjarmasin"
"536","Sekolah Tinggi Ilmu Manajemen Indonesia Meulaboh"
"537","Sekolah Tinggi Ilmu Manajemen Shanti Bhuana"
"538","Sekolah Tinggi Ilmu Maritim Makassar"
"539","Sekolah Tinggi Ilmu Pariwisata Manado"
"540","Sekolah Tinggi Ilmu Pelayaran Jakarta"
"541","Sekolah Tinggi Ilmu Perikanan Kalinyamat"
"542","Sekolah Tinggi Ilmu Perikanan Malang"
"543","Sekolah Tinggi Ilmu Pertanian"
"544","Sekolah Tinggi Ilmu Pertanian Puangrimanggalatung"
"545","Sekolah Tinggi Ilmu Pertanian Rejang Lebong"
"546","Sekolah Tinggi Ilmu Pertanian Sriwigama"
"547","Sekolah Tinggi Ilmu Pertanian Wuna Raha"
"548","Sekolah Tinggi Ilmu Pertanian Yashafa"
"549","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Banten Raya"
"550","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Panca Bhakti Palu"
"551","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Persada Bunda"
"552","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Silas Papare Jayapura"
"553","Sekolah Tinggi Ilmu Sosial dan Politik Candradimuka"
"554","Sekolah Tinggi Ilmu Sosial dan Politik Fajar Timur"
"555","Sekolah Tinggi Ilmu Sosial Mutiara"
"556","Sekolah Tinggi Ilmu Syariah Al‐Wahidiyah Kediri"
"557","Sekolah Tinggi Ilmu Tarbiyah Al‐Chaeriyah Mamuju Sulawesi Barat"
"558","Sekolah Tinggi Ilmu Tarbiyah Al‐Ishlah"
"559","Sekolah Tinggi Ilmu Tarbiyah Al‐Karimiyah"
"560","Sekolah Tinggi Ilmu Tarbiyah Al‐Marhalah Al‐Uya Bekasi"
"561","Sekolah Tinggi Ilmu Tarbiyah Al‐Quraniyah Manna"
"562","Sekolah Tinggi Ilmu Tarbiyah Aqidah Usymuni"
"563","Sekolah Tinggi Ilmu Tarbiyah Ar‐Risalah"
"564","Sekolah Tinggi Ilmu Tarbiyah Dar Aswaja Rokan Hilir"
"565","Sekolah Tinggi Ilmu Tarbiyah Darul Fattah"
"566","Sekolah Tinggi Ilmu Tarbiyah Jembrana"
"567","Sekolah Tinggi Ilmu Tarbiyah Maskumambang Gresik"
"568","Sekolah Tinggi Ilmu Tarbiyah Misbahul Ulum Gumawang"
"569","Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Bojonegoro"
"570","Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Paciran"
"571","Sekolah Tinggi Ilmu Tarbiyah Pringsewu"
"572","Sekolah Tinggi Ilmu Tarbiyah Raden Wijaya"
"573","Sekolah Tinggi Ilmu Tarbiyah Sunan Giri Bima"
"574","Sekolah Tinggi Ilmu Tarbiyah Syekh Burhanuddin Pariaman"
"575","Sekolah Tinggi Ilmu Teknik Jembrana"
"576","Sekolah Tinggi Ilmu Teknik Prabumulih"
"577","Sekolah Tinggi Ilmu Teknik Serasan"
"578","Sekolah Tinggi Ilmu Teknik Trisula Bengkulu"
"579","Sekolah Tinggi Ilmu Ushuluddin Darul Hikmah"
"580","Sekolah Tinggi Informatika dan Komputer Indonesia Malang"
"581","Sekolah Tinggi Informatika dan Multimedia Nusa Palapa"
"582","Sekolah Tinggi Informatika Komputer Artha Buana"
"583","Sekolah Tinggi Matematika dan Ilmu Pengetahuan Alam"
"584","Sekolah Tinggi Internasional Konservatori Musik Indonesia"
"585","Sekolah Tinggi Islam Blambangan"
"586","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Agama Hindu Amlapura"
"587","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Agama Hindu Singaraja"
"588","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Azhar Diniyah Jambi"
"589","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Islam Tunas Bangsa Bandar Lampung"
"590","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Andi Matappa"
"591","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bima"
"592","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Catur Sakti"
"593","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Citra Bakti"
"594","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Darud Da wah Wal Irsyad Mamuju"
"595","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Darud Da'wah Wal Irsyad Polewali Mandar"
"596","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kie Raha"
"597","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Melawi"
"598","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Modern"
"599","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bangka Belitung"
"600","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bone"
"601","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Kuningan"
"602","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Lumajang"
"603","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Manokwari"
"604","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Pringsewu"
"605","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Sampit"
"606","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Sorong"
"607","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Nurul Huda"
"608","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Persada Khatulistiwa Sintang"
"609","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Bandar Lampung"
"610","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Bangkalan"
"611","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Banjarmasin"
"612","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Blitar"
"613","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Jombang"
"614","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Lamongan"
"615","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Lumajang"
"616","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Pacitan"
"617","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Pasuruan"
"618","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Pontianak"
"619","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sampang"
"620","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sidoarjo"
"621","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Situbondo"
"622","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sumatera Barat"
"623","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sumenep"
"624","Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Tulungagung"
"625","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Puangrimaggalatung Sengkang"
"626","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Santo Paulus"
"627","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Sebelas April Sumedang"
"628","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Setia Budhi Rangkasbitung"
"629","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Siliwangi"
"630","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Taman Siswa Bima"
"631","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Tapanuli Selatan"
"632","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Yayasan Dharma Bakti Lubuk Alung"
"633","Sekolah Tinggi Keguruan dan Ilmu Pendidikan YPUP"
"634","Sekolah Tinggi Kepemerintahan dan Kebijakan Publik"
"635","Sekolah Tinggi Kesehatan Bina Cipta Husada"
"636","Sekolah Tinggi Kesehatan Buana Husada Ponorogo"
"637","Sekolah Tinggi Kesehatan Imelda"
"638","Sekolah Tinggi Kesehatan Indonesia Wirautama"
"639","Sekolah Tinggi Kesenian Wilwatikta. Surabaya"
"640","Sekolah Tinggi Komputer Al Ma soem"
"641","Sekolah Tinggi Management Transportasi Trisakti"
"642","Sekolah Tinggi Manajemen Asuransi Trisakti"
"643","Sekolah Tinggi Manajemen dan Ilmu Komputer PPKIA Pradnya Paramita"
"644","Sekolah Tinggi Manajemen dan Ilmu Komputer Raharja"
"645","Sekolah Tinggi Manajemen Immi"
"646","Sekolah Tinggi Manajemen Industri"
"647","Sekolah Tinggi Manajemen Informatika Komputer Indonesia Banjarmasin"
"648","Sekolah Tinggi Manajemen Informatika Komputer Mataram"
"649","Sekolah Tinggi Manajemen Informatika Komputer Stella Maris Sumba"
"650","Sekolah Tinggi Manajemen Ipmi"
"651","Sekolah Tinggi Manajemen Labora"
"652","Sekolah Tinggi Manajemen Logistik Indonesia"
"653","Sekolah Tinggi Manajemen PPM"
"654","Sekolah Tinggi Manajemen Resiko dan Asuransi"
"655","Sekolah Tinggi Manajemen Transportasi Trisakti"
"656","Sekolah Tinggi Media Komunikasi Trisakti"
"657","Sekolah Tinggi Olahraga dan Kesehatan Bina Guna"
"658","Sekolah Tinggi Pariwisata AMPTA Yogyakarta"
"659","Sekolah Tinggi Pariwisata Ars Internasional"
"660","Sekolah Tinggi Penyuluhan Pertanian Bogor"
"661","STMIK Dharmapala Riau"
"662","STMIK Dian Cipta Cendikia Kotabumi"
"663","STMIK Dipanegara Makassar"
"664","STMIK Ganesha Bandung"
"665","STMIK Hang Tuah Pekanbaru"
"666","STMIK Himsya"
"667","STMIK IKMI Cirebon"
"668","STMIK IM"
"669","STMIK Indonesia Padang"
"670","STMIK Kaputama"
"671","STMIK Kharisma Makassar"
"672","STMIK Manado"
"673","STMIK Muhammadiyah Jakarta"
"674","STMIK Muhammadiyah Paguyangan Brebes"
"675","STMIK Nurdin Hamzah"
"676","STMIK Palcomtech"
"677","STMIK Pelita Nusantara Medan"
"678","STMIK STIKOM Indonesia"
"679","STMIK Sumedang"
"680","STMIK Triguna Dharma"
"681","STMIK Web Informatika Teknologi"
"682","STMIK Widya Dharma"
"683","STMIK Yadika Bangil"
"684","STMIK YMI Tegal"
"685","Universitas 17 Agustus 1945 Jakarta"
"686","Universitas 17 Agustus 1945 Samarinda"
"687","Universitas Abdurachman Saleh"
"688","Universitas Abulyatama"
"689","Universitas Achmad Yani Banjarmasin"
"690","Universitas Aki"
"691","Universitas Alma Ata"
"692","Universitas Alwashliyah"
"693","Universitas Amir Hamzah"
"694","Sekolah Tinggi Pariwisata Mataram"
"695","Sekolah Tinggi Pembangunan Masyarakat Desa APMD"
"696","Sekolah Tinggi Penyuluhan Pertanian Malang"
"697","Sekolah Tinggi Perikanan"
"698","Sekolah Tinggi Perikanan Hatta-sjahrir"
"699","Sekolah Tinggi Perikanan Sibolga"
"700","Sekolah Tinggi Pertanian Benteng Huraba"
"701","Sekolah Tinggi Pertanian Kewirausahaan Banau"
"702","Sekolah Tinggi Pertanian Kutai Timur"
"703","Sekolah Tinggi Pertanian Labuha"
"704","Sekolah Tinggi Pertanian Panca Bhakti"
"705","Sekolah Tinggi Peyuluhan Pertanian Gowa"
"706","Sekolah Tinggi Psikologi Yogyakarta"
"707","Sekolah Tinggi Sains dan Teknologi Indonesia"
"708","Sekolah Tinggi Seni Rupa dan Desain Visi Indonesia"
"709","Sekolah Tinggi Sosial Politik Waskita Darma"
"710","Sekolah Tinggi Teknik Atlas Nusantara"
"711","Sekolah Tinggi Teknik Baramuli"
"712","Sekolah Tinggi Teknik Bina Cendikia"
"713","Sekolah Tinggi Teknik Bina Taruna"
"714","Sekolah Tinggi Teknik Malang"
"715","Sekolah Tinggi Teknik Poliprofesi"
"716","Sekolah Tinggi Teknik Raden Wijaya"
"717","Sekolah Tinggi Teknologi Bina Tunggal"
"718","Sekolah Tinggi Teknologi Bontang"
"719","Sekolah Tinggi Teknologi Energi dan Mineral Akamigas Cepu"
"720","Sekolah Tinggi Teknologi Fatahillah Cilegon"
"721","Sekolah Tinggi Teknologi Garut"
"722","Sekolah Tinggi Teknologi Indonesia Jakarta"
"723","Sekolah Tinggi Teknologi Industri Bontang"
"724","Sekolah Tinggi Teknologi Muhammadiyah Cileungsi"
"725","Sekolah Tinggi Teknologi Jakarta"
"726","Sekolah Tinggi Teknologi Jawa Barat"
"727","Sekolah Tinggi Teknologi Kreatif Bina Nusantara Bandung"
"728","Sekolah Tinggi Teknologi Mandala"
"729","Sekolah Tinggi Teknologi Mineral Indonesia"
"730","Sekolah Tinggi Teknologi Mitra Karya"
"731","STIA Menara Siswa"
"732","Sekolah Tinggi Teknologi Muhammadiyah Kebumen"
"733","Sekolah Tinggi Teknologi Nasional Jambi"
"734","Sekolah Tinggi Teknologi Nusa Putra"
"735","Sekolah Tinggi Teknologi Pekanbaru"
"736","Sekolah Tinggi Teknologi Sinar Husni"
"737","Sekolah Tinggi Teknologi Stikma Internasional"
"738","Sekolah Tinggi Teknologi Texmaco"
"739","Sekolah Tinggi Teknologi Yupentek"
"740","Sekolah Tinggi Teologi Arastamar Merauke"
"741","Sekolah Tinggi Teologi Arastamar Wamena"
"742","Sekolah Tinggi Teologi Bandung"
"743","Sekolah Tinggi Teologi Baptis Papua"
"744","Sekolah Tinggi Teologi Berita Hidup Solo"
"745","Sekolah Tinggi Teologi Gereja Kalimantan Evangelis"
"746","Sekolah Tinggi Teologi Injili Indonesia Surabaya"
"747","Sekolah Tinggi Teologi Kasih Mentawai"
"748","Sekolah Tinggi Teologi Reformed Indonesia"
"749","Sekolah Tinggi Teologi Renatus Pematang Siantar"
"750","Sekolah Tinggi Teologi Saat Malang"
"751","Sekolah Tinggi Teologi Sangkakala"
"752","Sekolah Tinggi Teologi Soteria Purwokerto"
"753","Sekolah Tinggi Teologi Stars Lub Luwuk Banggai"
"754","Sekolah Tinggi Teologi Tabernakel Indonesia"
"755","Sekolah Tinggi Teologi Tawangmangu"
"756","Sekolah Tinggi Theologi Filadelfia Langowan"
"757","Sekolah Tinggi Theologi IKAT"
"758","Sekolah Tinggi Theologi Injili Arastamar"
"759","Sekolah Tinggi Theologia Arastamar Riau"
"760","Sekolah Tinggi Theologia Intim Makassar"
"761","Stba Persahabatan Internasional Asia"
"762","STFT Gki Izaak Samuel Kijne Jayapura"
"763","STIA Aan"
"764","STIA Abdul Azis Kataloka"
"765","STIA Abdul Haris"
"766","STIA Adabiah"
"767","STIA Al Gazali Soppeng"
"768","STIA Al Ghazali Barru"
"769","STIA Amuntai"
"770","STIA Asuh Mitra Solo"
"771","STIA Asy Syafi iyah"
"772","STIA Bagasasi Bandung"
"773","STIA Bala Putra Dewa"
"774","STIA Bandung"
"775","STIA Banten"
"776","STIA Bayuangga"
"777","STIA Bengkulu"
"778","STIA Bina Banua Banjarmasin"
"779","STIA Bina Nusantara Mandiri Pariaman"
"780","STIA Bina Taruna Gorontalo"
"781","STIA Cimahi"
"782","STIE Bali Internasional Institute of Tourism Management"
"783","STIE Bank Bpd Jawa Tengah"
"784","STIE Banten"
"785","STIE BII Bekasi"
"786","STIE Bina Karya"
"787","STIE Bisnis dan Perbankan"
"788","STIE Bumi Persada Lhokseumawe"
"789","STIE Cendekia Karya Utama"
"790","STIE Dharma Barata Kendari"
"791","STIE Dharma Nasional Jember"
"792","STIE Dr Kh Ez Mutaqien"
"793","STIE Dwi Sakti Baturaja"
"794","STIE Galileo"
"795","STIE Gema Widya Bangsa"
"796","STIE Gentiaras"
"797","STIE H Agus Salim"
"798","STIE IBBI"
"799","STIE Indonesia Banking School"
"800","STIE Indonesia Malang"
"801","STIE Indonesia Membangun (Inaba)"
"802","STIE Insan Pembangunan"
"803","STIE Islamiyah"
"804","STIE Kertanegara"
"805","STIE Triguna"
"806","STIE Kosgoro"
"807","STIE Kusuma Negara"
"808","STIE La Tansa Mashiro"
"809","STIE Lamaddukelleng"
"810","STIE LMII"
"811","STIE Mahaputra Riau"
"812","STIE Maiji"
"813","STIE Makassar Maju"
"814","STIE Manajemen Bisnis Indonesia"
"815","STIE Muhammadiyah Jakarta"
"816","STIE Muhammadiyah Mamuju"
"817","STIE Muhammadiyah Pringsewu Lampung"
"818","STIE Muhammadiyah Tanjung Redeb"
"819","STIE Muhammadiyah Tuban"
"820","STIE Mujahidin"
"821","STIE Mulia Pratama"
"822","STIE Multi Data Palembang"
"823","STIE Nganjuk"
"824","STIE Nusa Bangsa"
"825","STIE Nusantara Sangatta"
"826","STIE Ottow dan Geissler Fak-fak"
"827","STIE Ottow dan Geissler Serui"
"828","STIE Pagaruyung"
"829","STIE Palangka Raya"
"830","STIE Pancasetia"
"831","STIE Pariwisata Yapari Aktripa"
"832","STIE Pasaman"
"833","STIE Pasim Sukabumi"
"834","STIE Pasundan"
"835","STIE Pelita Bangsa Bekasi"
"836","STIE Pelita Indonesia"
"837","STIE Pembangunan"
"838","STIE Pengembangan Bisnis dan Manajemen"
"839","STIE Petra"
"840","STIE PGRI Dewantara"
"841","STIE Ppi"
"842","STIE Prabumulih"
"843","STIE Prakarti Mulya"
"844","STIE Putera Sampoerna"
"845","STIE Putra Bangsa"
"846","STIE Rajawali"
"847","STIE Rizky"
"848","STIE Saint Theresa"
"849","STIE Sampit"
"850","STIE Semarang"
"851","STIE Stmy"
"852","STIE Surya Nusantara"
"853","STIE Taman Siswa"
"854","STIE Tri Dharma Widya"
"855","STIE Tricom"
"856","STIE Widya Dharma Pontianak"
"857","STIE Widya Jayakarta"
"858","STIE Widya Persada"
"859","STIE Wijaya Mulya"
"860","STIE YAPAN"
"861","STIE Yapan Surabaya"
"862","STIE Yasa Anggana"
"863","STIE Yasmi"
"864","STIE Ykp"
"865","STIE YPBI"
"866","STIE YP-Karya"
"867","STIH Amsir"
"868","STIH Biak-Papua"
"869","STIH Bina Bangsa"
"870","STIH dan HAM"
"871","STIH IBLAM"
"872","STIH Muhammad Thaha Tual di Kota Tual"
"873","STIH Muhammadiyah Kotabumi"
"874","STIH Muhammadiyah Takengon"
"875","STIH Nias Selatan"
"876","STIKES Bethesda Yakkum"
"877","STIKES Bhakti Al-Qodiri"
"878","STIKES Bhakti Husada Bengkulu"
"879","STIKES Bhakti Husada Mulia Madiun"
"880","STIKES Bhakti Kencana"
"881","STIKES Bhakti Mulia"
"882","STIKES Bhakti Pertiwi Indonesia"
"883","STIKES Bhakti Pertiwi Luwu Raya Palopo"
"884","STIKES Bina Bangsa Majene"
"885","STIKES Bina Nusantara"
"886","STIKES Bina Usada Bali"
"887","STIKES Binawan"
"888","STIKES Bumi Persada Lhokseumawe"
"889","STIKES Cahaya Bangsa"
"890","STIKES Cendekia Utama"
"891","STIKES Citra Delima Bangka Belitung"
"892","STIKES Datu Kamanre"
"893","STIKES Dharma Landbouw"
"894","STIKES Dirgahayu Samarinda"
"895","STIKES Dr. Soebandi Jember"
"896","STIKES Duta Gama Klaten"
"897","STIKES Estu Utomo"
"898","STIKES Faathir Husada"
"899","STIKES Fitrah Aldar"
"900","STIKES Fort De Kock"
"901","STIKES Graha Edukasi"
"902","STIKES Griya Husada Sumbawa"
"903","STIKES Hamzar Memben Lombok Timur"
"904","STIKES Harapan Ibu Jambi"
"905","STIKES Holistik"
"906","STIKES Immanuel Bandung"
"907","STIKES Indonesia Padang"
"908","STIKES Insan Cendikia Medika"
"909","STIKES Insan Unggul Surabaya"
"910","STIKES Kapuas Raya"
"911","STIKES Karya Kesehatan"
"912","STIKES Katolik St Vincentius A Paulo Surabaya"
"913","STIKES Kendedes"
"914","STIKES Kepanjen"
"915","STIKES Kharisma Karawang"
"916","STIKES Makassar"
"917","STIKES Mandala Waluya"
"918","STIKES Marendeng Majene"
"919","STIKES Mataram"
"920","STIKES Medika Cikarang"
"921","STIKES Medika Nurul Islam"
"922","STIKES Medika Seramoe Barat"
"923","STIKES Medistra Lubuk Pakam"
"924","STIKES Mitra Adiguna"
"925","STIKES Mitra Husada Karanganyar"
"926","STIKES Mitra Ria Husada"
"927","STIKES Muhammadiyah Mojokerto"
"928","STIKES Muhammadiyah Kendal"
"929","STIKES Muhammadiyah Klaten"
"930","STIKES Muhammadiyah Kudus"
"931","STIKES Muhammadiyah Manado"
"932","STIKES Muhammadiyah Palembang"
"933","STIKES Muhammadiyah Pekajangan"
"934","STIKES Murni Teguh"
"935","STIKES Nan Tongga"
"936","STIKES Nani Hasanuddin"
"937","STIKES Nasional"
"938","STIKES Nurul Jadid"
"939","STIKES Nusantara Jaya Makassar"
"940","STIKES Nusantara Lasinrang"
"941","STIKES Paguwarmas Maos"
"942","STIKES Pamentas"
"943","STIKES Panakkukang"
"944","STIKES Panca Atma Jaya"
"945","STIKES Papua"
"946","STIKES Patria Husada"
"947","STIKES Pelamonia Kesdam VII Wirabuana"
"948","STIKES Perintis Padang"
"949","STIKES Permata Nusantara"
"950","STIKES Pertamedika"
"951","STIKES Piala Sakti Pariaman"
"952","STIKES PKU Muhammadiyah Surakarta"
"953","STIKES Prima Indonesia"
"954","STIKES Prima Nusantara"
"955","STIKES Puangrimanggalatung"
"956","STIKES Putra Abadi Langkat"
"957","STIKES Raflesia"
"958","STIKES RSU Daya Makassar"
"959","STIKES Rumah Sakit Anwar Medika"
"960","STIKES Sakinah Husada Tanjung Balai"
"961","STIKES Salewangan Maros"
"962","STIKES Sari Mulia"
"963","STIKES Sint Carolus"
"964","STIKES Suaka Insan"
"965","STIKES Sumatera Utara"
"966","STIKES Surifatri Kotamobagu"
"967","STIKES Trinita"
"968","STIKES William Booth"
"969","STIKES Wira Medika Bali"
"970","STIKES Yayasan RS. Dr. Soetomo"
"971","STIKES YPAK Padang"
"972","STIKESMAS Nusantara"
"973","STIKI Malang"
"974","STIKOM Muhammadiyah Jayapura"
"975","STIKOM Tunas Bangsa"
"976","STIKS Tamalanrea Makassar"
"977","STIMED Nusa Palapa"
"978","STIMI Samarinda"
"979","STIMIK Sepuluh Nopember Jayapura"
"980","STIPER Santo Thomas Aquinas Jayapura"
"981","STIPER Sawahlunto Sijunjung"
"982","STISIP Al Washliyah Banda Aceh"
"983","STISIP Amal Ilmiah Yapis Wamena"
"984","STISIP Bina Generasi Polewali"
"985","STISIP Bina Marta"
"986","STISIP Bunda Tanah Melayu"
"987","STISIP Muhammadiyah Madiun"
"988","STISIP Nurdin Hamzah"
"989","Universitas Azzahra"
"990","Universitas Bakrie"
"991","Universitas Bale Bandung"
"992","Universitas Bandung Raya"
"993","Universitas Bangka Belitung"
"994","Universitas Banten Jaya"
"995","Universitas Batanghari Jambi"
"996","Universitas Baturaja"
"997","Universitas Bengkulu"
"998","Universitas Bina Nusantara"
"999","Universitas Bojonegoro"
"1000","Universitas Boyolali"
"1001","Universitas Brawijaya"
"1002","Universitas Buddhi Dharma"
"1003","Universitas Bumi Hijrah Tidore"
"1004","Universitas Cenderawasih"
"1005","Universitas Ciputra"
"1006","Universitas Cordova"
"1007","Universitas Darma Agung Medan"
"1008","Universitas Darul ulum"
"1009","Universitas Darul Ulum Islamic Centre Sudirman"
"1010","Universitas Darussalam Ambon"
"1011","Universitas Darwan Ali"
"1012","Universitas Dharma Andalas"
"1013","Universitas Dharmawangsa"
"1014","Universitas Dhyana Pura"
"1015","Universitas Dian Nusantara"
"1016","Universitas Dian Nuswantoro"
"1017","Universitas Diponegoro"
"1018","Universitas Dirgantara Marsekal Suryadarma, Jakarta"
"1019","Universitas Dr Soetomo"
"1020","Universitas Dumoga Bone Kotamubagu"
"1021","Universitas Efarina"
"1022","Universitas Ekasakti"
"1023","Universitas Esa Unggul"
"1024","Universitas florestimur"
"1025","Universitas Gorontalo"
"1026","Universitas Graha Nusantara"
"1027","Universitas Gunadarma"
"1028","Universitas Gunung Kidul"
"1029","Universitas Gunung Rinjani"
"1030","Universitas Hang Tuah"
"1031","Universitas Harapan Medan"
"1032","Universitas Hasyim Asy'ari Tebuireng Jombang"
"1033","Universitas IBA"
"1034","Universitas Pakuan"
"1035","Universitas Indo Global Mandiri"
"1036","Universitas Internasional Batam"
"1037","Universitas Internasional Semen Indonesia"
"1038","Universitas Iqra Buru"
"1039","Universitas Iskandar Muda"
"1040","Universitas Islam Al-azhar Mataram"
"1041","Universitas Islam As‐Syafiiyah"
"1042","Universitas Islam Balitar"
"1043","Universitas Islam Indragiri"
"1044","Universitas Islam Jakarta"
"1045","Universitas Islam Jember"
"1046","Universitas Islam Kadiri"
"1047","Universitas Islam Kuantan Singingi"
"1048","Universitas Islam Madura"
"1049","Universitas Islam Majapahit Mojokerto"
"1050","Universitas Islam Nahdlatul Ulama Jepara"
"1051","Universitas Islam Negeri Alauddin"
"1052","Universitas Islam Negeri Malang"
"1053","Universitas Islam Negeri Raden Fatah"
"1054","Universitas Islam Negeri Sunan Ampel"
"1055","Universitas Islam Negeri Syarif Hidayatullah Jakarta"
"1056","Universitas Islam Negeri Walisongo"
"1057","Universitas Islam Riau"
"1058","Universitas Islam Syekh Yusuf"
"1059","Universitas Jember"
"1060","Universitas Jenderal Achmad Yani"
"1061","Universitas Kadiri"
"1062","Universitas Kaltara"
"1063","Universitas Kanjuruhan"
"1064","Universitas Kapuas Sintang"
"1065","Universitas Karimun"
"1066","Universitas Kartini"
"1067","Universitas Karyadarma Kupang"
"1068","Universitas Katolik Indonesia Atma Jaya"
"1069","Universitas Katolik Parahyangan"
"1070","Universitas Katolik Santo Thomas"
"1071","Universitas Katolik Widya Mandala Madiun"
"1072","Universitas Katolik Widya Mandala Surabaya"
"1073","Universitas Katolik Widya Mandira Kupang"
"1074","Universitas Katolik De La Salle"
"1075","Universitas Katolik Musi Charitas"
"1076","Universitas KH. A. Wahab Hasbullah"
"1077","Universitas Khairun"
"1078","Universitas Klabat"
"1079","Universitas Komputer Indonesia"
"1080","Universitas Krisnadwipayana"
"1081","Universitas Kristen Artha Wacana"
"1082","Universitas Kristen Cipta Wacana"
"1083","Universitas Kristen Duta Wacana Yogyakarta"
"1084","Universitas Kristen Immanuel"
"1085","Universitas Kristen Indonesia"
"1086","Universitas Kristen Indonesia Maluku"
"1087","Universitas Kristen Indonesia Paulus"
"1088","Universitas Kristen Indonesia Toraja"
"1089","Universitas Kristen Krida Wacana"
"1090","Universitas Kristen Palangka Raya"
"1091","Universitas Kristen Satya Wacana"
"1092","Universitas Kristen Tentena"
"1093","Universitas Kristen Wira Wacana Sumba"
"1094","Universitas Kuningan"
"1095","Universitas Kutai Kartanegara kutaikartanegara"
"1096","Universitas Lakidende Unahaa"
"1097","Universitas Lambung Mangkurat"
"1098","Universitas Lintas Internasional Indonesia"
"1099","Universitas Lumajang"
"1100","Universitas Ma Chung"
"1101","Universitas Madako Toli-toli-Toli-toli"
"1102","Universitas Madura"
"1103","Universitas Mahaputra Muhammad Yamin"
"1104","Universitas Mahasaraswati Mataram"
"1105","Universitas Mahendradatta"
"1106","Universitas Majalengka"
"1107","Universitas Malahayati"
"1108","Universitas Malikussaleh Lhokseumawe"
"1109","Universitas Medan Area"
"1110","Universitas Megou Pak Tulang Bawang"
"1111","Universitas Mercu Buana"
"1112","Universitas Merdeka Madiun"
"1113","Universitas Merdeka Pasuruan"
"1114","Universitas Merdeka Surabaya"
"1115","Universitas Methodist Indonesia"
"1116","Universitas Mohammad Husni Thamrin"
"1117","Universitas Mpu Tantular"
"1118","Universitas Muara Bungo"
"1119","Universitas Muhadi Setiabudi"
"1120","Universitas Muhammadiyah Aceh"
"1121","Universitas Muhammadiyah Banjarmasin"
"1122","Universitas Muhammadiyah Bengkulu"
